"Transcript ID","Name","bp","Protein","Translation ID","Biotype","CCDS","UniProt Match","RefSeq Match","Flags"
"ENST00000357654.9","BRCA1-203","7088","1863aa","ENSP00000350283.3"," Protein coding","CCDS11453","P38398-1","NM_007294.4","MANE Select, Ensembl Canonical, GENCODE basic, APPRIS  P2, TSL:1, "
"ENST00000618469.2","BRCA1-226","7613","1863aa","ENSP00000478114.2"," Protein coding","CCDS11453","G1UI37","-","GENCODE basic, APPRIS  P2, TSL:1, "
"ENST00000652672.2","BRCA1-232","7320","1816aa","ENSP00000498906.2"," Protein coding","CCDS11459","A0A494C182","-","-"
"ENST00000471181.7","BRCA1-209","7270","1884aa","ENSP00000418960.2"," Protein coding","CCDS11456","P38398-7","-","GENCODE basic, APPRIS  ALT2, TSL:1, "
"ENST00000494123.6","BRCA1-221","7168","1863aa","ENSP00000419103.2"," Protein coding","CCDS11453","Q3B891","-","GENCODE basic, APPRIS  P2, TSL:1, "
"ENST00000470026.6","BRCA1-208","7147","1863aa","ENSP00000419274.2"," Protein coding","CCDS11453","E7EWN5","-","GENCODE basic, APPRIS  P2, TSL:1, "
"ENST00000461574.2","BRCA1-205","7082","1862aa","ENSP00000417241.2"," Protein coding","","H0Y850","-","GENCODE basic, APPRIS  ALT2, TSL:2, "
"ENST00000476777.6","BRCA1-212","7075","1861aa","ENSP00000417554.2"," Protein coding","","E7EQW4","-","GENCODE basic, APPRIS  ALT2, TSL:5, "
"ENST00000489037.2","BRCA1-216","7056","1837aa","ENSP00000420781.2"," Protein coding","","E7ENB7","-","GENCODE basic, TSL:4, "
"ENST00000477152.6","BRCA1-213","7010","1837aa","ENSP00000419988.2"," Protein coding","","E9PH68","-","GENCODE basic, TSL:1, "
"ENST00000634433.2","BRCA1-228","6991","1822aa","ENSP00000489431.2"," Protein coding","","A0A0U1RRA9","-","GENCODE basic, APPRIS  ALT2, TSL:5, "
"ENST00000473961.6","BRCA1-211","6962","1821aa","ENSP00000420201.2"," Protein coding","","H0Y8D8","-","GENCODE basic, APPRIS  ALT2, TSL:2, "
"ENST00000644379.2","BRCA1-230","6363","1885aa","ENSP00000496570.2"," Protein coding","","A0A2R8Y7V5","-","GENCODE basic, APPRIS  ALT2, "
"ENST00000497488.2","BRCA1-222","6335","1567aa","ENSP00000418986.2"," Protein coding","","C9IZW4","-","GENCODE basic, TSL:1, "
"ENST00000493795.5","BRCA1-219","5732","1816aa","ENSP00000418775.1"," Protein coding","CCDS11459","P38398-8","-","GENCODE basic, TSL:5, "
"ENST00000644555.2","BRCA1-231","3921","713aa","ENSP00000494614.2"," Protein coding","","A0A2R8Y587","-","GENCODE basic, "
"ENST00000478531.6","BRCA1-214","3765","759aa","ENSP00000420412.2"," Protein coding","","E7EUM2","-","GENCODE basic, TSL:1, "
"ENST00000493919.6","BRCA1-220","3757","713aa","ENSP00000418819.2"," Protein coding","","B7ZA85","-","GENCODE basic, TSL:2, "
"ENST00000352993.7","BRCA1-201","3668","721aa","ENSP00000312236.5"," Protein coding","","P38398-5","-","GENCODE basic, TSL:5, "
"ENST00000468300.5","BRCA1-207","3273","699aa","ENSP00000417148.1"," Protein coding","CCDS11455","P38398-6","-","GENCODE basic, TSL:1, "
"ENST00000484087.6","BRCA1-215","2490","717aa","ENSP00000419481.2"," Protein coding","","H0Y8B8","-","GENCODE basic, TSL:5, "
"ENST00000491747.6","BRCA1-217","2379","759aa","ENSP00000420705.2"," Protein coding","CCDS11454","P38398-3","-","GENCODE basic, TSL:5, "
"ENST00000700182.1","BRCA1-236","2269","544aa","ENSP00000514849.1"," Protein coding","","A0A8V8TPY7","-","GENCODE basic, "
"ENST00000591534.5","BRCA1-224","1282","354aa","ENSP00000467329.1"," Protein coding","","K7EPC7","-","GENCODE basic, TSL:1, "
"ENST00000586385.5","BRCA1-223","781","173aa","ENSP00000465818.1"," Protein coding","","C6YB45","-","GENCODE basic, TSL:1, "
"ENST00000591849.5","BRCA1-225","563","96aa","ENSP00000465347.1"," Protein coding","","K7EJW3","-","GENCODE basic, TSL:1, "
"ENST00000461221.5","BRCA1-204","5693","63aa","ENSP00000418548.1"," Nonsense mediated decay","","P38398-2","-","TSL:1, "
"ENST00000700183.1","BRCA1-237","1778","59aa","ENSP00000514850.1"," Nonsense mediated decay","","E9PC22","-","-"
"ENST00000492859.5","BRCA1-218","1584","59aa","ENSP00000420253.1"," Nonsense mediated decay","","E9PC22","-","TSL:1, "
"ENST00000642945.1","BRCA1-229","1255","81aa","ENSP00000495897.1"," Nonsense mediated decay","","A0A2R8Y6Y9","-","-"
"ENST00000461798.5","BRCA1-206","582","63aa","ENSP00000417988.1"," Nonsense mediated decay","","P38398-2","-","TSL:3, "
"ENST00000700186.1","BRCA1-240","737","No protein","-"," Protein coding CDS not defined","","-","-","-"
"ENST00000700185.1","BRCA1-239","496","No protein","-"," Protein coding CDS not defined","","-","-","-"
"ENST00000621897.1","BRCA1-227","375","No protein","-"," Protein coding CDS not defined","","-","-","TSL:5, "
"ENST00000354071.8","BRCA1-202","4497","No protein","-"," Retained intron","","-","-","TSL:1, "
"ENST00000700081.1","BRCA1-233","2851","No protein","-"," Retained intron","","-","-","-"
"ENST00000700082.1","BRCA1-234","1653","No protein","-"," Retained intron","","-","-","-"
"ENST00000700083.1","BRCA1-235","1309","No protein","-"," Retained intron","","-","-","-"
"ENST00000700184.1","BRCA1-238","919","No protein","-"," Retained intron","","-","-","-"
"ENST00000472490.1","BRCA1-210","561","No protein","-"," Retained intron","","-","-","TSL:3, "
